interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,market,location,location_type,pnode,lmp,energy,congestion,loss
2024-01-08T06:00:00-06:00,2024-01-08T12:00:00+00:00,2024-01-08T07:00:00-06:00,2024-01-08T13:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,20.2174,37.2081,-17.3677,0.377
2024-01-08T06:00:00-06:00,2024-01-08T12:00:00+00:00,2024-01-08T07:00:00-06:00,2024-01-08T13:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,17.4304,37.2082,-17.5275,-2.2503
2024-01-08T07:00:00-06:00,2024-01-08T13:00:00+00:00,2024-01-08T08:00:00-06:00,2024-01-08T14:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,24.1634,40.6361,-17.4082,0.9355
2024-01-08T07:00:00-06:00,2024-01-08T13:00:00+00:00,2024-01-08T08:00:00-06:00,2024-01-08T14:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,23.1118,40.636,-14.9591,-2.5651
2024-01-08T08:00:00-06:00,2024-01-08T14:00:00+00:00,2024-01-08T09:00:00-06:00,2024-01-08T15:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,28.993,43.8588,-15.9684,1.1026
2024-01-08T08:00:00-06:00,2024-01-08T14:00:00+00:00,2024-01-08T09:00:00-06:00,2024-01-08T15:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,24.1158,43.8588,-17.0405,-2.7025
2024-01-08T09:00:00-06:00,2024-01-08T15:00:00+00:00,2024-01-08T10:00:00-06:00,2024-01-08T16:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,30.3465,50.7389,-21.5813,1.1889
2024-01-08T09:00:00-06:00,2024-01-08T15:00:00+00:00,2024-01-08T10:00:00-06:00,2024-01-08T16:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,58.4695,50.7389,10.7209,-2.9903
2024-01-08T10:00:00-06:00,2024-01-08T16:00:00+00:00,2024-01-08T11:00:00-06:00,2024-01-08T17:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,26.437,44.753,-20.3222,2.0062
2024-01-08T10:00:00-06:00,2024-01-08T16:00:00+00:00,2024-01-08T11:00:00-06:00,2024-01-08T17:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,40.7113,44.753,-1.1821,-2.8596
2024-01-08T11:00:00-06:00,2024-01-08T17:00:00+00:00,2024-01-08T12:00:00-06:00,2024-01-08T18:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,23.4502,41.2882,-19.6038,1.7658
