interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,region,market,non_spinning_reserves,regulation_down,regulation_up,spinning_reserves
2022-06-01T12:00:00-07:00,2022-06-01T19:00:00+00:00,2022-06-01T13:00:00-07:00,2022-06-01T20:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0
2022-06-01T12:00:00-07:00,2022-06-01T19:00:00+00:00,2022-06-01T13:00:00-07:00,2022-06-01T20:00:00+00:00,AS_NP26_EXP,DAM,0.0,2.15703,0.0,0.0
2022-06-01T12:00:00-07:00,2022-06-01T19:00:00+00:00,2022-06-01T13:00:00-07:00,2022-06-01T20:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0
2022-06-01T12:00:00-07:00,2022-06-01T19:00:00+00:00,2022-06-01T13:00:00-07:00,2022-06-01T20:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,1.37,0.0
2022-06-01T13:00:00-07:00,2022-06-01T20:00:00+00:00,2022-06-01T14:00:00-07:00,2022-06-01T21:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0
2022-06-01T13:00:00-07:00,2022-06-01T20:00:00+00:00,2022-06-01T14:00:00-07:00,2022-06-01T21:00:00+00:00,AS_CAISO_EXP,DAM,0.15,6.5,1.55,1.51
2022-06-01T13:00:00-07:00,2022-06-01T20:00:00+00:00,2022-06-01T14:00:00-07:00,2022-06-01T21:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0
2022-06-01T13:00:00-07:00,2022-06-01T20:00:00+00:00,2022-06-01T14:00:00-07:00,2022-06-01T21:00:00+00:00,AS_NP26_EXP,DAM,0.0,5.5,0.0,0.0
2022-06-01T13:00:00-07:00,2022-06-01T20:00:00+00:00,2022-06-01T14:00:00-07:00,2022-06-01T21:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0
2022-06-01T13:00:00-07:00,2022-06-01T20:00:00+00:00,2022-06-01T14:00:00-07:00,2022-06-01T21:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,1.88,0.0
2022-06-01T14:00:00-07:00,2022-06-01T21:00:00+00:00,2022-06-01T15:00:00-07:00,2022-06-01T22:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0
2022-06-01T14:00:00-07:00,2022-06-01T21:00:00+00:00,2022-06-01T15:00:00-07:00,2022-06-01T22:00:00+00:00,AS_CAISO_EXP,DAM,0.15,6.5,1.55,1.55
2022-06-01T14:00:00-07:00,2022-06-01T21:00:00+00:00,2022-06-01T15:00:00-07:00,2022-06-01T22:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0
2022-06-01T14:00:00-07:00,2022-06-01T21:00:00+00:00,2022-06-01T15:00:00-07:00,2022-06-01T22:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,0.0
2022-06-01T14:00:00-07:00,2022-06-01T21:00:00+00:00,2022-06-01T15:00:00-07:00,2022-06-01T22:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0
2022-06-01T14:00:00-07:00,2022-06-01T21:00:00+00:00,2022-06-01T15:00:00-07:00,2022-06-01T22:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,1.92,0.0
2022-06-01T15:00:00-07:00,2022-06-01T22:00:00+00:00,2022-06-01T16:00:00-07:00,2022-06-01T23:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0
2022-06-01T15:00:00-07:00,2022-06-01T22:00:00+00:00,2022-06-01T16:00:00-07:00,2022-06-01T23:00:00+00:00,AS_CAISO_EXP,DAM,0.15,6.0,2.05,1.0
2022-06-01T15:00:00-07:00,2022-06-01T22:00:00+00:00,2022-06-01T16:00:00-07:00,2022-06-01T23:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0
2022-06-01T15:00:00-07:00,2022-06-01T22:00:00+00:00,2022-06-01T16:00:00-07:00,2022-06-01T23:00:00+00:00,AS_NP26_EXP,DAM,0.0,2.9,0.0,0.0
2022-06-01T15:00:00-07:00,2022-06-01T22:00:00+00:00,2022-06-01T16:00:00-07:00,2022-06-01T23:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0
2022-06-01T15:00:00-07:00,2022-06-01T22:00:00+00:00,2022-06-01T16:00:00-07:00,2022-06-01T23:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,0.95,0.0
2022-06-01T16:00:00-07:00,2022-06-01T23:00:00+00:00,2022-06-01T17:00:00-07:00,2022-06-02T00:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0
